underlying_symbol,quote_date,open,high,low,close,trade_volume,vwap,best_bid_1545,best_ask_1545,best_bid_eod,best_ask_eod
AAPL,2016-12-30,116.65,117.20,115.43,115.84,24987133,116.01,115.58,115.59,115.84,115.87
AMZN,2016-12-30,766.47,767.40,748.28,750.03,3724809,754.71,749.33,749.52,750.02,750.40
APC,2016-12-30,70.07,70.79,69.51,69.73,1895922,69.95,69.64,69.66,69.73,69.74
BABA,2016-12-30,87.55,88.10,87.20,87.79,6766891,87.65,87.70,87.71,87.79,87.80
BAC,2016-12-30,22.04,22.26,21.95,22.15,61594048,22.12,22.05,22.06,22.14,22.15
BUD,2016-12-30,105.98,106.20,105.01,105.43,1662089,105.60,105.15,105.17,105.41,105.43
C,2016-12-30,59.63,59.80,59.19,59.43,13698323,59.51,59.36,59.37,59.43,59.44
CAR,2016-12-30,37.26,37.74,36.37,36.68,860981,36.72,36.65,36.69,36.68,36.70
CMCSA,2016-12-30,69.95,70.05,68.93,69.15,6317601,69.26,69.03,69.04,69.14,69.15
CSCO,2016-12-30,30.56,30.60,30.13,30.25,15503709,30.27,30.20,30.21,30.24,30.25
CSX,2016-12-30,36.35,36.40,35.79,35.94,4406809,35.97,35.86,35.87,35.93,35.94
CVS,2016-12-30,78.96,79.31,78.46,78.95,3388284,78.84,78.80,78.81,78.94,78.95
DIS,2016-12-30,104.94,105.00,103.96,104.28,5479582,104.21,104.07,104.08,104.28,104.29
FB,2016-12-30,116.67,116.83,114.77,115.14,16209134,115.34,115.03,115.04,115.14,115.15
GE,2016-12-30,31.61,31.80,31.51,31.62,18502556,31.65,31.56,31.57,31.63,31.64
GILD,2016-12-30,72.03,72.26,71.30,71.62,7846270,71.60,71.47,71.48,71.62,71.63
GIMO,2016-12-30,45.95,46.15,44.95,45.60,391172,45.51,45.50,45.55,45.55,45.60
GM,2016-12-30,35.21,35.31,34.67,34.85,6269785,34.89,34.75,34.76,34.84,34.85
GOOG,2016-12-30,782.75,782.78,770.41,772.14,1467951,774.50,773.00,773.19,772.12,772.94
HD,2016-12-30,135.58,135.82,133.83,134.12,3046978,134.33,133.99,134.00,134.14,134.15
HES,2016-12-30,62.90,63.28,62.07,62.30,1581338,62.51,62.20,62.21,62.29,62.30
HUN,2016-12-30,19.20,19.27,18.96,19.08,1467947,19.06,19.02,19.03,19.08,19.09
IBM,2016-12-30,166.39,166.70,165.50,165.98,2244022,166.10,165.81,165.82,165.99,166.02
INTC,2016-12-30,36.79,36.80,36.20,36.29,13277661,36.36,36.27,36.28,36.29,36.30
JD,2016-12-30,25.68,25.84,25.29,25.44,3209775,25.42,25.39,25.40,25.43,25.44
JNPR,2016-12-30,28.45,28.45,28.11,28.27,1352945,28.24,28.22,28.23,28.26,28.27
JPM,2016-12-30,86.20,86.42,85.66,86.34,9399926,86.10,85.97,85.98,86.33,86.34
K,2016-12-30,74.00,74.16,73.42,73.72,773895,73.67,73.51,73.53,73.71,73.72
KO,2016-12-30,41.70,41.84,41.35,41.47,8492764,41.53,41.41,41.42,41.46,41.47
KR,2016-12-30,34.63,34.83,34.41,34.52,3074586,34.57,34.45,34.46,34.52,34.53
MAR,2016-12-30,83.48,83.61,82.54,82.67,1951577,82.88,82.69,82.70,82.67,82.70
MCD,2016-12-30,122.79,123.16,121.44,121.76,2704671,122.05,121.61,121.62,121.74,121.77
MDLZ,2016-12-30,44.96,44.97,44.21,44.34,4123938,44.43,44.26,44.27,44.33,44.34
MGM,2016-12-30,28.57,28.83,28.33,28.83,5000422,28.62,28.74,28.75,28.82,28.83
MMM,2016-12-30,178.94,179.48,178.29,178.70,1136974,178.88,178.36,178.40,178.68,178.70
MO,2016-12-30,68.00,68.03,67.50,67.64,3658649,67.71,67.54,67.55,67.63,67.64
MOS,2016-12-30,29.39,29.79,29.10,29.34,2533333,29.36,29.32,29.33,29.33,29.34
MRK,2016-12-30,58.82,58.95,58.56,58.88,8590933,58.77,58.79,58.80,58.87,58.88
MSFT,2016-12-30,62.96,62.99,62.03,62.15,18438705,62.30,62.16,62.17,62.15,62.16
MU,2016-12-30,22.35,22.40,21.75,21.92,18188079,21.98,21.93,21.94,21.92,21.93
NCLH,2016-12-30,42.62,42.97,42.10,42.53,762401,42.46,42.43,42.45,42.53,42.54
NFLX,2016-12-30,126.24,126.57,123.60,123.81,4020400,124.31,123.86,123.89,123.80,123.83
NXPI,2016-12-30,98.16,98.44,97.68,98.03,2099843,97.90,98.13,98.14,98.03,98.05
PFE,2016-12-30,32.35,32.60,32.31,32.50,14077179,32.47,32.42,32.43,32.49,32.50
QCOM,2016-12-30,66.25,66.35,65.04,65.21,4417839,65.41,65.17,65.18,65.21,65.24
SBUX,2016-12-30,56.28,56.45,55.40,55.52,6415260,55.73,55.45,55.46,55.52,55.53
SFLY,2016-12-30,49.68,50.21,49.27,50.19,335227,49.86,49.97,50.02,50.18,50.19
